,yr,mo,dy,date,time,mag,slat,slon,radar,radar_dist,datetime,max_dbz,mean_dbz,max_zdr,mean_zdr,min_zdr,mean_cc,min_cc,count_30dbz,count_50dbz,count_60dbz,ratio_50_30,ratio_60_50,zdr_range,sig
337,2015,3,31,2015-03-31,19:08:00,1.0,33.63,-86.97,KBMX,55.6692961855981,2015-03-31 19:08:00,64.5,40.5,4.9375,2.4,-0.75,0.98,0.5216666460037231,985,189,23,0.19168356997971603,0.12105263157894737,5.6875,0
338,2013,5,30,2013-05-30,15:30:00,1.0,35.1,-97.25,KTLX,24.424751771827008,2013-05-30 15:30:00,62.0,40.4,4.9375,1.7,-1.9375,0.94,0.2083333283662796,10034,1275,16,0.12705530642750373,0.012539184952978056,6.875,0
339,2013,7,23,2013-07-23,15:11:00,1.0,40.84,-80.54,KPBZ,44.15415782735465,2013-07-23 15:11:00,64.0,39.6,4.9375,1.6,-1.9375,0.98,0.2083333283662796,9805,522,7,0.05323271466449113,0.01338432122370937,6.875,0
340,2015,4,26,2015-04-26,21:32:00,1.75,32.3272,-97.3821,KFWS,26.94591552094532,2015-04-26 21:32:00,69.5,42.3,4.9375,1.9,-1.9375,0.96,0.2083333283662796,33593,7734,679,0.2302196820860868,0.08778280542986425,6.875,0
341,2019,6,2,2019-06-02,12:33:00,1.25,38.74,-81.69,KRLX,48.91280844440527,2019-06-02 12:33:00,62.0,39.9,4.9375,2.3,-1.875,0.98,0.2083333283662796,6238,794,16,0.12726398461291874,0.02012578616352201,6.8125,0
342,2018,6,8,2018-06-08,15:10:00,1.0,44.1209,-103.287,KUDX,37.40314864668302,2018-06-08 15:10:00,71.5,39.8,4.9375,2.3,-1.9375,0.95,0.2083333283662796,7324,915,49,0.12491467576791809,0.05349344978165939,6.875,0
343,2019,6,30,2019-06-30,12:50:00,1.0,40.7592,-73.1961,KOKX,28.92526599651098,2019-06-30 12:50:00,68.0,42.0,4.9375,1.5,-1.9375,0.97,0.2083333283662796,19696,3119,239,0.15834898715540438,0.07660256410256411,6.875,0
344,2014,8,18,2014-08-18,16:56:00,1.75,43.46,-96.12,KFSD,51.08865158352035,2014-08-18 16:56:00,67.0,41.9,4.9375,1.6,-1.8125,0.97,0.5016666650772095,2279,436,48,0.1912280701754386,0.10983981693363844,6.75,0
345,2019,7,5,2019-07-05,18:35:00,1.0,39.7,-104.81,KFTG,23.991220653000145,2019-07-05 18:35:00,70.0,40.9,4.9375,2.2,-1.9375,0.95,0.2083333283662796,7189,1291,199,0.1795549374130737,0.1540247678018576,6.875,0
346,2019,5,5,2019-05-05,17:02:00,1.5,40.5945,-98.38,KUEX,30.77505044793683,2019-05-05 17:02:00,73.0,43.6,4.9375,2.2,-1.9375,0.95,0.2083333283662796,8426,2190,492,0.25987896048415804,0.22455499771793702,6.875,0
347,2015,3,31,2015-03-31,14:00:00,1.25,33.87,-88.02,KGWX,29.68762620203068,2015-03-31 14:00:00,70.5,40.4,4.9375,2.3,-1.9375,0.95,0.2083333283662796,3206,538,114,0.16775802931088243,0.21150278293135436,6.875,0
348,2013,8,5,2013-08-05,17:55:00,1.0,37.07,-93.06,KSGF,33.714480070929305,2013-08-05 17:55:00,63.0,43.0,4.9375,1.8,-1.9375,0.98,0.2083333283662796,9670,1635,5,0.16906214455588875,0.003056234718826406,6.875,0
349,2014,7,3,2014-07-03,13:48:00,1.0,38.7717,-77.4526,KLWX,21.15424646560661,2014-07-03 13:48:00,62.0,39.5,4.9375,1.5,-1.9375,0.97,0.2083333283662796,14114,1114,3,0.07892313142047468,0.0026905829596412557,6.875,0
